,rok,měsíc,den,T-AVG,TMA,TMI,SRA,Flag
197,1775,7,17,16.5,22.2,15.0,,
198,1775,7,18,18.0,20.1,14.9,,
199,1775,7,19,18.2,22.0,13.0,,
200,1775,7,20,17.7,20.5,13.3,,
201,1775,7,21,19.3,22.0,15.2,,
202,1775,7,22,22.3,26.8,16.2,,
203,1775,7,23,23.4,27.5,17.3,,
204,1775,7,24,27.0,30.6,21.2,,
205,1775,7,25,24.2,27.5,22.4,,
206,1775,7,26,24.1,25.6,21.7,,
207,1775,7,27,26.8,30.5,21.1,,
208,1775,7,28,24.3,29.6,21.4,,
209,1775,7,29,21.1,25.7,19.1,,
210,1775,7,30,21.0,22.5,17.7,,
211,1775,7,31,24.5,29.1,18.5,,
212,1775,8,1,23.1,25.3,19.2,,
213,1775,8,2,23.7,26.8,20.2,,
214,1775,8,3,25.3,29.3,20.1,,
215,1775,8,4,26.5,30.1,20.8,,
216,1775,8,5,23.1,29.2,20.0,,
217,1775,8,6,26.5,31.3,19.5,,
218,1775,8,7,22.1,27.5,18.0,,
219,1775,8,8,19.6,22.1,16.8,,
220,1775,8,9,20.8,24.4,15.8,,
221,1775,8,10,22.8,27.2,18.0,,
222,1775,8,11,18.0,22.5,15.1,,
223,1775,8,12,21.3,24.4,15.6,,
224,1775,8,13,20.1,22.1,17.7,,
225,1775,8,14,20.7,24.4,16.3,,
226,1775,8,15,22.7,25.5,19.4,,
227,1775,8,16,21.2,26.1,18.2,,
228,1775,8,17,18.1,21.0,15.5,,
229,1775,8,18,18.4,22.3,14.5,,
230,1775,8,19,20.5,23.7,16.4,,
231,1775,8,20,21.3,24.4,16.9,,
232,1775,8,21,22.5,26.2,16.6,,
233,1775,8,22,22.4,26.2,17.4,,
234,1775,8,23,24.0,30.2,18.3,,
235,1775,8,24,20.2,24.2,18.2,,
236,1775,8,25,18.6,22.8,17.1,,
237,1775,8,26,20.3,25.5,16.9,,
238,1775,8,27,21.8,24.1,16.6,,
239,1775,8,28,19.2,22.4,14.8,,
240,1775,8,29,18.4,24.3,14.2,,
241,1775,8,30,21.9,25.7,14.0,,
242,1775,8,31,20.9,25.0,16.5,,
243,1775,9,1,18.1,20.8,15.3,,
244,1775,9,2,19.1,22.4,14.0,,
245,1775,9,3,19.0,23.5,14.8,,
246,1775,9,4,21.3,25.2,15.2,,
247,1775,9,5,22.0,26.2,17.0,,
248,1775,9,6,22.9,26.6,17.8,,
249,1775,9,7,21.7,27.2,16.5,,
250,1775,9,8,22.8,27.8,16.8,,
251,1775,9,9,19.7,23.2,16.7,,
252,1775,9,10,20.7,24.2,16.0,,
253,1775,9,11,16.5,23.0,14.3,,
254,1775,9,12,16.5,19.8,12.3,,
255,1775,9,13,16.3,22.4,12.0,,
256,1775,9,14,14.6,18.6,8.5,,
257,1775,9,15,13.3,15.4,11.3,,
258,1775,9,16,14.8,18.2,9.2,,
259,1775,9,17,16.4,19.2,13.8,,
260,1775,9,18,14.8,18.3,12.0,,
261,1775,9,19,14.7,19.8,9.0,,
262,1775,9,20,14.7,18.7,9.4,,
263,1775,9,21,14.4,17.6,10.6,,
264,1775,9,22,16.1,20.0,12.0,,
265,1775,9,23,14.7,17.5,10.8,,
